year,postcode,suburb,avg_CO2_kg_per_customer_year
2021,3802,Endeavour_Hills,4549.0
2022,3802,Endeavour_Hills,3991.0
2020,3802,Endeavour_Hills,4738.0
2021,3807,Beaconsfield,6147.0
2022,3807,Beaconsfield,5272.0
2020,3807,Beaconsfield,6248.0
2021,3978,Clyde;Clyde_North,3968.0
2022,3978,Clyde;Clyde_North,3135.0
2020,3978,Clyde;Clyde_North,3468.0
2020,3804,Narre_Warren_North,8932.0
2021,3804,Narre_Warren_North,8769.0
2022,3804,Narre_Warren_North,7405.0
2020,3806,Berwick;Harkaway,5130.0
2021,3806,Berwick;Harkaway,5013.0
2022,3806,Berwick;Harkaway,4093.0
2020,3975,Lynbrook;Lyndhurst,4315.0
2021,3975,Lynbrook;Lyndhurst,4248.0
2022,3975,Lynbrook;Lyndhurst,3560.0
2022,3156,Lysterfield_South,8686.0
2020,3156,Lysterfield_South,10076.0
2021,3156,Lysterfield_South,10046.0
2022,3803,Hallam,3607.0
2021,3803,Hallam,4245.0
2020,3803,Hallam,4329.0
2022,3805,Narre_Warren;Narre_Warren_South,3860.0
2020,3805,Narre_Warren;Narre_Warren_South,4848.0
2021,3805,Narre_Warren;Narre_Warren_South,4661.0
2022,3912,Pearcedale,5300.0
2021,3912,Pearcedale,6558.0
2020,3912,Pearcedale,7151.0
2021,3976,Hampton_Park,3956.0
2020,3976,Hampton_Park,4132.0
2022,3976,Hampton_Park,3298.0
2021,3977,Botanic_Ridge;Cannons_Creek;Cranbourne;Cranbourne_East;Cranbourne_North;Cranbourne_South;Cranbourne_West;Devon_Meadows;Junction_Village,4427.0
2022,3977,Botanic_Ridge;Cannons_Creek;Cranbourne;Cranbourne_East;Cranbourne_North;Cranbourne_South;Cranbourne_West;Devon_Meadows;Junction_Village,3824.0
2020,3977,Botanic_Ridge;Cannons_Creek;Cranbourne;Cranbourne_East;Cranbourne_North;Cranbourne_South;Cranbourne_West;Devon_Meadows;Junction_Village,4510.0
2020,3177,Doveton;Eumemmerring,4024.0
2021,3177,Doveton;Eumemmerring,3801.0
2022,3177,Doveton;Eumemmerring,3429.0
2022,3980,Blind_Bight;Tooradin;Warneet,6919.0
2021,3980,Blind_Bight;Tooradin;Warneet,8346.0
2020,3980,Blind_Bight;Tooradin;Warneet,8682.0
